listing_id,amenity_name,amenity_category
1411811,Bathtub,Bathroom
1411811,Hair dryer,Bathroom
1411811,Hot water,Bathroom
1411811,Dryer,Bedroom and laundry
1411811,Hangers,Bedroom and laundry
1411811,Bed linens,Bedroom and laundry
1411811,Extra pillows and blankets,Bedroom and laundry
1411811,Iron,Bedroom and laundry
1411811,TV,Entertainment
1411811,Babysitter recommendations,Family
1411811,Air conditioning,Heating and cooling
1411811,Heating,Heating and cooling
1411811,Smoke alarm,Home safety
1411811,Wifi,Internet and office
1411811,Dedicated workspace,Internet and office
1411811,Kitchen,Kitchen and dining
1411811,Refrigerator,Kitchen and dining
1411811,Cooking basics,Kitchen and dining
1411811,Dishes and silverware,Kitchen and dining
1411811,Stove,Kitchen and dining
1411811,Oven,Kitchen and dining
1411811,Coffee maker,Kitchen and dining
1411811,Free street parking,Parking and facilities
1411811,Self check-in,Services
1411811,Keypad,Services
1411811,Washer,Not included
1411811,Essentials,Not included
1411811,Carbon monoxide alarm,Not included
1177473168936527770,Bathtub,Bathroom
1177473168936527770,Hair dryer,Bathroom
1177473168936527770,Shampoo,Bathroom
1177473168936527770,Conditioner,Bathroom
1177473168936527770,Body soap,Bathroom
1177473168936527770,Hot water,Bathroom
1177473168936527770,Shower gel,Bathroom
1177473168936527770,Essentials,Bedroom and laundry
1177473168936527770,Hangers,Bedroom and laundry
1177473168936527770,Bed linens,Bedroom and laundry
1177473168936527770,Room-darkening shades,Bedroom and laundry
1177473168936527770,Iron,Bedroom and laundry
1177473168936527770,TV,Entertainment
1177473168936527770,Pack ’n play/Travel crib - available upon request,Family
1177473168936527770,Air conditioning,Heating and cooling
1177473168936527770,Heating,Heating and cooling
1177473168936527770,Smoke alarm,Home safety
1177473168936527770,Carbon monoxide alarm,Home safety
1177473168936527770,Fast wifi – 150 Mbps,Internet and office
1177473168936527770,Dedicated workspace,Internet and office
1177473168936527770,Microwave,Kitchen and dining
1177473168936527770,Mini fridge,Kitchen and dining
1177473168936527770,Coffee maker,Kitchen and dining
1177473168936527770,Wine glasses,Kitchen and dining
1177473168936527770,Coffee,Kitchen and dining
1177473168936527770,Laundromat nearby,Location features
1177473168936527770,Elevator,Parking and facilities
1177473168936527770,Shared gym in building,Parking and facilities
1177473168936527770,Paid parking off premises,Parking and facilities
1177473168936527770,Pets allowed,Services
1177473168936527770,Self check-in,Services
1177473168936527770,Smart lock,Services
1177473168936527770,Housekeeping - available at extra cost,Services
1177473168936527770,Kitchen,Not included
1177473168936527770,Washer,Not included
1177473168936527770,Private entrance,Not included
1102123641767898783,Hair dryer,Bathroom
1102123641767898783,Shampoo,Bathroom
1102123641767898783,Body soap,Bathroom
1102123641767898783,Essentials,Bedroom and laundry
1102123641767898783,Hangers,Bedroom and laundry
1102123641767898783,Bed linens,Bedroom and laundry
1102123641767898783,Iron,Bedroom and laundry
1102123641767898783,Safe,Bedroom and laundry
1102123641767898783,TV,Entertainment
1102123641767898783,Ping pong table,Entertainment
1102123641767898783,Air conditioning,Heating and cooling
1102123641767898783,Smoke alarm,Home safety
1102123641767898783,Carbon monoxide alarm,Home safety
1102123641767898783,Wifi,Internet and office
1102123641767898783,Dedicated workspace,Internet and office
1102123641767898783,Elevator,Parking and facilities
1102123641767898783,Long term stays allowed,Services
1102123641767898783,Host greets you,Services
1102123641767898783,Kitchen,Not included
1102123641767898783,Washer,Not included
1102123641767898783,Private entrance,Not included
1102123641767898783,Heating,Not included
1491324701840057798,Hair dryer,Bathroom
1491324701840057798,Shampoo,Bathroom
1491324701840057798,Conditioner,Bathroom
1491324701840057798,Hot water,Bathroom
1491324701840057798,Shower gel,Bathroom
1491324701840057798,Essentials,Bedroom and laundry
1491324701840057798,Bed linens,Bedroom and laundry
1491324701840057798,Room-darkening shades,Bedroom and laundry
1491324701840057798,Iron,Bedroom and laundry
1491324701840057798,TV,Entertainment
1491324701840057798,Crib,Family
1491324701840057798,Air conditioning,Heating and cooling
1491324701840057798,Heating,Heating and cooling
1491324701840057798,Smoke alarm,Home safety
1491324701840057798,Carbon monoxide alarm,Home safety
44476913,Cleaning products,Bathroom
1491324701840057798,Wifi,Internet and office
1491324701840057798,Elevator,Parking and facilities
1491324701840057798,Gym,Parking and facilities
1491324701840057798,Paid parking on premises,Parking and facilities
1491324701840057798,Luggage dropoff allowed,Services
1491324701840057798,Self check-in,Services
1491324701840057798,Building staff,Services
1491324701840057798,Kitchen,Not included
1491324701840057798,Washer,Not included
1491324701840057798,Private entrance,Not included
50287920,City skyline view,Scenic views
50287920,Bathtub,Bathroom
50287920,Hair dryer,Bathroom
50287920,Cleaning products,Bathroom
50287920,Shampoo,Bathroom
50287920,Conditioner,Bathroom
50287920,Body soap,Bathroom
50287920,Hot water,Bathroom
50287920,Shower gel,Bathroom
50287920,Essentials,Bedroom and laundry
50287920,Hangers,Bedroom and laundry
50287920,Bed linens,Bedroom and laundry
50287920,Extra pillows and blankets,Bedroom and laundry
50287920,Room-darkening shades,Bedroom and laundry
50287920,Iron,Bedroom and laundry
50287920,Clothing storage: closet,Bedroom and laundry
50287920,Ethernet connection,Entertainment
50287920,"43 inch TV with Amazon Prime Video, Disney+, Hulu, Netflix, Roku",Entertainment
50287920,"Exercise equipment: free weights, stationary bike, yoga mat",Entertainment
50287920,Books and reading material,Entertainment
50287920,Central air conditioning,Heating and cooling
50287920,Window AC unit,Heating and cooling
50287920,Central heating,Heating and cooling
50287920,Portable heater,Heating and cooling
50287920,Smoke alarm,Home safety
50287920,Carbon monoxide alarm,Home safety
50287920,Fire extinguisher,Home safety
50287920,First aid kit,Home safety
50287920,Fast wifi – 602 Mbps,Internet and office
50287920,Dedicated workspace,Internet and office
50287920,Kitchen,Kitchen and dining
50287920,Refrigerator,Kitchen and dining
50287920,Microwave,Kitchen and dining
50287920,Cooking basics,Kitchen and dining
50287920,Dishes and silverware,Kitchen and dining
50287920,Freezer,Kitchen and dining
50287920,Dishwasher,Kitchen and dining
50287920,Stove,Kitchen and dining
50287920,Oven,Kitchen and dining
50287920,Hot water kettle,Kitchen and dining
50287920,Coffee maker: Keurig coffee machine,Kitchen and dining
50287920,Wine glasses,Kitchen and dining
50287920,Toaster,Kitchen and dining
50287920,Baking sheet,Kitchen and dining
50287920,Blender,Kitchen and dining
50287920,Rice maker,Kitchen and dining
50287920,Barbecue utensils,Kitchen and dining
50287920,Dining table,Kitchen and dining
50287920,Coffee,Kitchen and dining
50287920,Laundromat nearby,Location features
50287920,Private patio or balcony,Outdoor
50287920,Private backyard – Fully fenced,Outdoor
50287920,Outdoor furniture,Outdoor
50287920,Private BBQ grill: charcoal,Outdoor
50287920,Sun loungers,Outdoor
50287920,Free parking on premises,Parking and facilities
50287920,Free street parking,Parking and facilities
50287920,Luggage dropoff allowed,Services
50287920,Smoking allowed,Services
50287920,Self check-in,Services
50287920,Lockbox,Services
50287920,Lock on bedroom door,Privacy and safety
50287920,Exterior security cameras on property,Privacy and safety
50287920,Washer,Privacy and safety
50287920,Dryer,Privacy and safety
8054651,Bathtub,Bathroom
8054651,Hair dryer,Bathroom
8054651,Cleaning products,Bathroom
8054651,Shampoo,Bathroom
8054651,Conditioner,Bathroom
8054651,Body soap,Bathroom
8054651,Hot water,Bathroom
8054651,Shower gel,Bathroom
8054651,Essentials,Bedroom and laundry
8054651,Hangers,Bedroom and laundry
8054651,Bed linens,Bedroom and laundry
8054651,Extra pillows and blankets,Bedroom and laundry
8054651,Room-darkening shades,Bedroom and laundry
8054651,Iron,Bedroom and laundry
8054651,Clothing storage,Bedroom and laundry
8054651,Books and reading material,Entertainment
8054651,Air conditioning,Heating and cooling
8054651,Portable fans,Heating and cooling
8054651,Heating,Heating and cooling
8054651,Lock on bedroom door,Privacy and safety
8054651,Exterior security cameras on property,Privacy and safety
8054651,Smoke alarm,Privacy and safety
8054651,Carbon monoxide alarm,Privacy and safety
8054651,Fire extinguisher,Privacy and safety
8054651,First aid kit,Privacy and safety
8054651,Wifi,Internet and office
8054651,Dedicated workspace,Internet and office
8054651,Kitchen,Kitchen and dining
8054651,Refrigerator,Kitchen and dining
8054651,Microwave,Kitchen and dining
8054651,Cooking basics,Kitchen and dining
8054651,Dishes and silverware,Kitchen and dining
8054651,Freezer,Kitchen and dining
8054651,Stove,Kitchen and dining
8054651,Oven,Kitchen and dining
8054651,Hot water kettle,Kitchen and dining
8054651,Coffee maker,Kitchen and dining
8054651,Wine glasses,Kitchen and dining
8054651,Toaster,Kitchen and dining
8054651,Baking sheet,Kitchen and dining
8054651,Blender,Kitchen and dining
8054651,Dining table,Kitchen and dining
8054651,Coffee,Kitchen and dining
8054651,Laundromat nearby,Location features
8054651,Patio or balcony,Outdoor
8054651,Outdoor furniture,Outdoor
8054651,Outdoor dining area,Outdoor
8054651,Free street parking,Parking and facilities
8054651,Luggage dropoff allowed,Services
8054651,Self check-in,Services
8054651,Keypad,Services
8054651,TV,Not included
8054651,Washer,Not included
8054651,Dryer,Not included
1213312688643568568,Hair dryer,Bathroom
1213312688643568568,Shampoo,Bathroom
1213312688643568568,Conditioner,Bathroom
1213312688643568568,Hot water,Bathroom
1213312688643568568,Shower gel,Bathroom
1213312688643568568,Essentials,Bedroom and laundry
1213312688643568568,Bed linens,Bedroom and laundry
1213312688643568568,Room-darkening shades,Bedroom and laundry
1213312688643568568,Iron,Bedroom and laundry
1213312688643568568,TV,Entertainment
1213312688643568568,Air conditioning,Heating and cooling
