id,price,lat,lng,name,rating,property_type,room_type,person_capacity,bedrooms,beds,bathrooms,cleanliness_rating,location_rating,value_rating,communication_rating,checkin_rating,accuracy_rating,review_count,description,city,created_at
1083605109713339980,95.2,40.73369,-73.85629,NYC Studio Masterpiece,,Entire guest suite,Entire home/apt,2,1,1,1,4.99,4.83,4.87,4.94,4.96,4.97,93,"",New York,2025-12-31 21:59:34.241893
15783071,61.8,40.78802,-74.01629,Amazing room / Nice and clean room,,Private room in home,Private room,1,1,1,1,4.93,4.64,4.87,4.81,4.93,4.85,379,"",West New York,2025-12-31 17:53:50.186742
19086522,70.2,40.77707,-74.01696,private room,,Private room in rental unit,Private room,2,1,1,1,4.9,4.75,4.8,4.91,4.87,4.89,89,"",Weehawken,2025-12-31 21:58:56.438384
1102123641767898783,147.2,40.70973,-74.00717,Near One World | Game Room. Skyline Views + Bar,,Room in hotel,Private room,2,1,1,,4.81,4.79,4.61,4.8,4.77,4.79,214,"",New York,2025-12-31 21:59:02.978396
52853265,174.4,34.09051,-118.36962,✨Conveniently located 1 bedroom in West Hollywood✨,,Private room in rental unit,Private room,1,1,1,1,4.96,4.98,4.86,5,4.97,4.97,100,"",West Hollywood,2025-12-31 23:33:22.090488
12171671,67.8,40.74865,-73.99565,Individual Cubicle Room in NYC / Mixed Floor,,Private room in hostel,Private room,1,1,1,1,4.49,4.8,4.43,4.75,4.71,4.56,910,"",New York,2025-12-31 21:54:01.304223
764578441677175829,112.4,40.8122841,-73.9439463,Bright with a sunshine atmosphere,,Private room in rental unit,Private room,2,1,1,1,4.99,4.63,4.91,4.96,4.96,4.97,94,"",New York,2025-12-31 21:59:03.484464
54068618,84.2,40.80582,-73.93971,20 min Laguardia Airport 10 min Midtown Crash Pad,,Private room in condo,Private room,1,1,1,1,4.66,4.52,4.82,4.98,4.95,4.87,269,"",New York,2025-12-31 21:58:55.936799
23876385,946,40.7545,-74.03084,Dharma | Hoboken | Homey Studio + Rooftop,,Entire rental unit,Entire home/apt,2,0,2,1,4.91,4.83,4.7,4.92,4.93,4.89,466,"",Hoboken,2025-12-31 19:41:43.377232
1410455424614185921,185.8,34.08104311017591,-118.37340384775004,Matcha room,,Private room in rental unit,Private room,4,1,1,,4.9,5,4.9,5,5,4.9,10,"",West Hollywood,2025-12-31 23:33:21.07417
49946463,113,40.71922,-73.99175,"Terracotta Room | Guest Room, Shared Bath | LES",,Private room in rental unit,Private room,2,1,1,1,4.85,4.81,4.81,4.94,4.88,4.93,220,"",New York,2025-12-31 21:58:45.858045
16580,126.4,40.72372723229208,-73.97625850509617,"Sunny, Modern room in East Village w City Views",,Private room in condo,Private room,1,1,1,1,4.79,4.75,4.72,4.81,4.81,4.86,670,"",New York,2025-12-31 21:58:54.93061
13788132,114.8,40.69602,-73.96182,"Sunny, cozy room in Brooklyn.",,Private room in rental unit,Private room,2,1,1,1,4.86,4.67,4.85,4.95,4.92,4.93,532,"",Brooklyn,2025-12-31 21:58:49.887945
1545936785090610442,179,34.09139,-118.37274,Beautiful K-Town 1BDR Hideaway,,Entire rental unit,Entire home/apt,3,1,1,1,5,5,5,4.67,4.33,5,3,"",West Hollywood,2025-12-31 23:33:20.063627
1524453622586913569,190.6,34.08864,-118.35586,Luxury 1BR Retreat Steps from The Grove,,Entire rental unit,Entire home/apt,4,1,2,1,5,5,5,5,5,5,5,"",West Hollywood,2025-12-31 23:33:18.555743
45595993,134.6,40.71958,-73.99391,138 Bowery-Studio Suite w. Dining Area,,Room in aparthotel,Entire home/apt,2,1,1,1,4.86,4.92,4.73,4.62,4.89,4.83,66,"",New York,2025-12-31 21:58:44.849664
822620155766229408,312.4,34.08777,-118.36959,WeHome For Now,,Entire guest suite,Entire home/apt,2,1,2,1,4.96,4.98,4.86,4.99,4.99,4.95,131,"",West Hollywood,2025-12-31 23:33:15.529588
1407344736645729737,113,40.74254024584122,-73.99933821890156,Serene Queen Room - Midtown,,Room in hotel,Private room,2,1,1,1,4.96,4.96,4.68,4.98,4.96,4.89,58,"",New York,2025-12-31 21:58:43.328289
1273342441543046706,169.8,34.09036419754099,-118.36168419848019,Queen Bed4 and parking,,Entire rental unit,Entire home/apt,2,0,1,1,4.5,4.7,4.4,4.87,4.87,4.77,30,"",West Hollywood,2025-12-31 23:33:21.585307
1527080220580206427,236.6,34.08937,-118.3596,Modern Luxe Apartment - Free Parking,,Entire rental unit,Entire home/apt,2,1,1,1,5,4.71,4.86,4.93,4.79,4.79,14,"",West Hollywood,2025-12-31 23:33:16.538726
1426120927322991969,167.4,34.08246,-118.37154,Master suite on Melrose,,Private room in rental unit,Private room,2,1,1,,4.79,4.86,4.71,4.71,4.93,4.86,14,"",West Hollywood,2025-12-31 23:33:17.545787
1305095293816213388,198.2,40.71,-74.00869999999999,17John: King Studio Apartment - Disability Access,,Entire rental unit,Entire home/apt,2,1,1,1,5,4.97,4.87,5,5,4.9,30,"",New York,2025-12-31 17:53:32.303747
1274819693947567069,231.8,34.0874,-118.36907,The Bungalow Suite | West Hollywood,,Entire guest suite,Entire home/apt,2,1,1,1,4.9,4.98,4.81,4.93,4.9,4.97,59,"",West Hollywood,2025-12-31 23:33:17.041635
1493745390107438462,236.8,34.08684,-118.37314,Luxury Hollywood Retreat with Premium Amenities,,Entire rental unit,Entire home/apt,4,1,1,1,5,4.75,4.75,4.75,4.5,4.75,4,"",West Hollywood,2025-12-31 23:33:18.05071
34705719,81,40.80738,-73.95542,Cozy Bedroom w/bathroom near Columbia University!,,Private room in rental unit,Private room,2,1,1,,4.84,4.73,4.75,4.87,4.82,4.81,349,"",New York,2025-12-31 21:58:53.406448
47906957,68,40.65565,-73.91309,East Flatbush Home Hidden Brooklyn Gem,,Private room in rental unit,Private room,2,1,2,1,4.8,4.58,4.79,4.92,4.89,4.87,428,"",Brooklyn,2025-12-31 21:58:58.951836
837213410815312557,133.4,40.7636073,-73.9922156,Immaculate Room in Times Square’s heart!,,Private room in rental unit,Private room,2,1,1,1,4.92,4.92,4.84,4.95,4.95,4.89,170,"",New York,2025-12-31 21:58:46.864607
752124417745502491,186.6,40.71837,-73.99073,Kasa Lantern LES | King Room w/ Kitchenette,,Entire rental unit,Entire home/apt,2,0,1,1,4.86,4.76,4.61,4.83,4.9,4.84,211,"",New York,2025-12-31 17:54:34.860839
1209671786175519832,72.8,40.7983381,-74.0056725,Cozy Studio w/ private entrance and bathroom!,,Entire home,Entire home/apt,3,1,2,1,4.87,4.81,4.74,4.95,4.91,4.9,120,"",North Bergen,2025-12-31 17:55:21.180758
48200657,191.8,34.10692,-118.37122,Hollywood Hills Guest Suite+Views+Outdoor Patio,,Entire guest suite,Entire home/apt,2,1,1,1,4.98,4.98,4.92,5,4.94,4.94,53,"",Los Angeles,2025-12-31 23:33:27.645621
1388789584336850981,382,40.794355,-74.0091831,Sunny & Cozy Private Studio – Fast NYC Access!,,Entire home,Entire home/apt,2,1,1,1,4.87,4.69,4.75,4.92,4.95,4.92,61,"",Guttenberg,2025-12-31 17:54:15.299626
6166826,140.4,34.1238088405444,-118.36226831764901,Beautiful House in Hollywood Hills,,Private room in home,Private room,2,1,1,,4.95,4.94,4.96,5,4.99,4.97,242,"",Los Angeles,2025-12-31 23:33:31.19123
