iter	RMSE
0	261.4878705
1	257.6561996
2	254.6349859
3	252.3129862
4	249.7315019
5	247.6565782
6	245.7262545
7	243.0676596
8	241.1972173
9	239.2378779
10	238.2418162
11	236.2245789
12	235.3683962
13	233.857135
14	233.1675252
15	231.435569
16	230.7480469
17	228.9104346
18	227.6145921
19	226.3978287
20	224.8415881
21	223.7208916
22	222.3627776
23	220.831665
24	219.61583
25	218.6895905
26	217.7814866
27	216.1672077
28	213.9974508
29	213.0486347
30	212.0983574
31	211.1580635
32	210.5773314
33	209.7695101
34	208.7775646
35	207.5957617
36	206.9945947
37	205.8455895
38	205.3101709
39	204.4589991
40	203.5047883
41	202.8556261
42	202.1566008
43	201.7742668
44	201.2701046
45	200.8810956
46	200.3101803
47	199.8782199
48	199.3975357
49	198.9804508
50	196.943682
51	196.53179
