iter	Passed	Remaining
0	62	62387
1	66	33206
2	70	23482
3	74	18619
4	78	15645
5	83	13794
6	87	12399
7	91	11318
8	95	10553
9	100	9912
10	104	9360
11	108	8913
12	112	8547
13	116	8220
14	121	7969
15	125	7702
16	129	7470
17	133	7258
18	137	7083
19	141	6925
20	146	6807
21	149	6665
22	154	6568
23	159	6495
24	163	6382
25	168	6312
26	172	6215
27	176	6135
28	180	6052
29	184	5976
30	188	5904
31	193	5839
32	197	5773
33	201	5711
34	205	5665
35	209	5616
36	213	5564
37	218	5538
38	224	5531
39	228	5483
40	232	5443
41	237	5414
42	241	5371
43	245	5326
44	249	5285
45	253	5256
46	257	5220
47	261	5189
48	266	5181
49	270	5147
50	275	5117
51	279	5088
